id,來源,統計月份,日期,台北業績,台北佔比,台中業績,台中佔比,桃園業績,桃園佔比,新竹業績,新竹佔比,高雄業績,高雄佔比,全區合計
20260504120350_次月,schedule,2026/06,2026/05/04 12:03,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
20260521023319_次月,schedule,2026/06,2026/05/21 02:33:19,1478000,0.6268478333246389,167400,0.07099751508697195,498589,0.21146105167083787,200730,0.08513340025930634,13110,0.005560199658244936,2357829
20260520203739_次月,schedule,2026/06,2026/05/20 20:37:39,1478000,0.6268478333246389,167400,0.0709975150869719,498589,0.2114610516708378,200730,0.0851334002593063,13110,0.0055601996582449,2357829
20260520122339_次月,schedule,2026/06,2026/05/20 12:23:39,1439400,0.6234329177258255,167400,0.0725042868051293,488189,0.211444416195396,200730,0.0869401761672259,13110,0.0056782031064232,2308829
20260520021627_次月,schedule,2026/06,2026/05/20 02:16:27,1419000,0.6264267321317183,153000,0.0675428400395721,475789,0.2100401328077646,204330,0.0902028006881423,13110,0.0057874943328025,2265229
20260519205251_次月,schedule,2026/06,2026/05/19 20:52:51,1414800,0.6267306745860003,153000,0.0677762179895801,472189,0.2091711411521691,204330,0.0905144746523589,13110,0.0058074916198914,2257429
20260519122157_次月,schedule,2026/06,2026/05/19 12:21:57,1400400,0.6293284870905421,153000,0.0687569683839281,456789,0.205277299549844,201930,0.0907457165082784,13110,0.0058915284674071,2225229
20260519021151_次月,schedule,2026/06,2026/05/19 02:11:51,1405800,0.6352379476274373,153000,0.0691360122257774,439189,0.1984560527674965,201930,0.0912459800571976,13110,0.0059240073220911,2213029
20260518215838_次月,schedule,2026/06,2026/05/18 21:58:38,1383000,0.6314408219414499,153000,0.069855709151874,439189,0.2005219545536106,201930,0.0921958388826008,13110,0.0059856754704645,2190229
20260518123750_次月,schedule,2026/06,2026/05/18 12:37:50,1350000,0.6316291822039648,153000,0.0715846406497826,422890,0.1978590110090627,198330,0.0927933449677869,13110,0.0061338211694029,2137330
20260518011546_次月,schedule,2026/06,2026/05/18 01:15:46,1319300,0.6276911072731858,148200,0.0705099841566634,421690,0.2006299272538692,199530,0.0949315596408843,13110,0.0062374216753971,2101830
20260517192312_次月,schedule,2026/06,2026/05/17 19:23:12,1319300,0.6287680568860421,148200,0.0706309603808924,418090,0.1992584225752181,199530,0.0950944367395376,13110,0.0062481234183097,2098230
20260517121647_次月,schedule,2026/06,2026/05/17 12:16:47,1315700,0.6296932656274677,148200,0.0709284350277348,412890,0.1976089172645171,199530,0.0954949435970575,13110,0.0062744384832226,2089430
20260517011634_次月,schedule,2026/06,2026/05/17 01:16:34,1312100,0.6305050864235499,148200,0.0712147350110282,412890,0.1984065582908463,194730,0.0935738552543692,13110,0.0062997650202063,2081030
20260516191548_次月,schedule,2026/06,2026/05/16 19:15:48,1312100,0.6326940973946755,148200,0.0714619809724037,412890,0.1990953935472049,187530,0.0904268913073877,13110,0.006321636778328,2073830
20260516115648_次月,schedule,2026/06,2026/05/16 11:56:48,1312100,0.6384821632774217,145800,0.0709478693741697,400890,0.1950774441249033,187530,0.0912541422752952,8710,0.00423838094821,2055030
20260516015318_次月,schedule,2026/06,2026/05/16 01:53:18,1298900,0.6444778533613175,145800,0.0723418823774579,381690,0.1893839031869129,180330,0.0894747026689093,8710,0.0043216584054023,2015430
20260515200456_次月,schedule,2026/06,2026/05/15 20:04:56,1294500,0.6452883234965704,145800,0.0726790556707608,381690,0.1902665895677141,180330,0.089891729143404,3760,0.0018743021215504,2006080
20260515121444_次月,schedule,2026/06,2026/05/15 12:14:44,1130400,0.6181169960301404,144600,0.0790691061800763,369690,0.2021511608832117,180330,0.0986067214208379,3760,0.0020560154857336,1828780
20260515020753_次月,schedule,2026/06,2026/05/15 02:07:53,1114200,0.6329315261477636,130200,0.0739613038094047,355890,0.2021665776707301,156330,0.0888046898964996,3760,0.0021359024756018,1760380
20260514200514_次月,schedule,2026/06,2026/05/14 20:05:14,1114200,0.6329315261477636,130200,0.0739613038094047,355890,0.2021665776707301,156330,0.0888046898964996,3760,0.0021359024756018,1760380
20260514120939_次月,schedule,2026/06,2026/05/14 12:09:39,1078200,0.6292090243817038,126600,0.073880414103806,355890,0.2076879982259363,149130,0.0870283266611421,3760,0.0021942366274116,1713580
20260514021746_次月,schedule,2026/06,2026/05/14 02:17:46,1073400,0.6343296812395844,126600,0.0748147360209906,339290,0.2005046744436171,149130,0.0881289224550579,3760,0.0022219858407498,1692180
20260513202134_次月,schedule,2026/06,2026/05/13 20:21:34,1073400,0.6343296812395844,126600,0.0748147360209906,339290,0.2005046744436171,149130,0.0881289224550579,3760,0.0022219858407498,1692180
20260513120951_次月,schedule,2026/06,2026/05/13 12:09:51,1008600,0.6305405168856825,126600,0.0791457757661386,311490,0.1947323672464022,149130,0.0932307230648045,3760,0.0023506170369722,1599580
20260513021901_次月,schedule,2026/06,2026/05/13 02:19:01,906600,0.6157377850826553,114600,0.0778331680680259,298290,0.2025903639006235,149130,0.1012849943628682,3760,0.002553688585827,1472380
20260512200851_次月,schedule,2026/06,2026/05/12 20:08:51,906600,0.6157377850826553,114600,0.0778331680680259,298290,0.2025903639006235,149130,0.1012849943628682,3760,0.002553688585827,1472380
20260512120201_次月,schedule,2026/06,2026/05/12 12:02:01,906600,0.631433785120283,110400,0.0768920029530986,267090,0.1860243212748471,147930,0.1030311050439482,3760,0.0026187856078229,1435780
20260512020610_次月,schedule,2026/06,2026/05/12 02:06:10,899400,0.6452955272711619,110400,0.0792090573835182,232290,0.1666618835110275,147930,0.1061358320538392,3760,0.0026976997804531,1393780
20260511204939_次月,schedule,2026/06,2026/05/11 20:49:39,899400,0.6452955272711619,110400,0.0792090573835182,232290,0.1666618835110275,147930,0.1061358320538392,3760,0.0026976997804531,1393780
20260511122009_次月,schedule,2026/06,2026/05/11 12:20:09,858600,0.6810177987880326,98400,0.0780481614264411,170400,0.1351565722262762,129600,0.102795139439703,3760,0.0029823281195469,1260760
20260511011407_次月,schedule,2026/06,2026/05/11 01:14:07,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260510191129_次月,schedule,2026/06,2026/05/10 19:11:29,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260510120938_次月,schedule,2026/06,2026/05/10 12:09:38,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260510011411_次月,schedule,2026/06,2026/05/10 01:14:11,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260509191021_次月,schedule,2026/06,2026/05/09 19:10:21,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260509115142_次月,schedule,2026/06,2026/05/09 11:51:42,851400,0.752678666148025,86400,0.0763817673892287,99600,0.0880512040736942,90000,0.0795643410304466,3760,0.0033240213586053,1131160
20260509014515_次月,schedule,2026/06,2026/05/09 01:45:15,851400,0.7558862175503391,81600,0.0724457544657125,99600,0.088426435597855,90000,0.0799034056607123,3760,0.0033381867253808,1126360
20260508194314_次月,schedule,2026/06,2026/05/08 19:43:14,851400,0.7640259880110557,69600,0.0624573746365626,99600,0.0893786568074948,90000,0.0807638465127965,3760,0.0033741340320901,1114360
20260508115010_次月,schedule,2026/06,2026/05/08 11:50:10,851400,0.8521157772528924,9600,0.0096080707794547,56400,0.0564474158292966,78000,0.0780655750830697,3760,0.0037631610552864,999160
20260508015907_次月,schedule,2026/06,2026/05/08 01:59:07,855000,0.9751813495141202,0,0.0,0,0.0,18000,0.0205301336739814,3760,0.0042885168118983,876760
20260507200234_次月,schedule,2026/06,2026/05/07 20:02:34,855000,0.9751813495141202,0,0.0,0,0.0,18000,0.0205301336739814,3760,0.0042885168118983,876760
20260507115942_次月,schedule,2026/06,2026/05/07 11:59:42,855000,0.995621593926126,0,0.0,0,0.0,0,0.0,3760,0.0043784060738739,858760
20260507015319_次月,schedule,2026/06,2026/05/07 01:53:19,858600,0.9956398719792198,0,0.0,0,0.0,0,0.0,3760,0.0043601280207801,862360
20260506200347_次月,schedule,2026/06,2026/05/06 20:03:47,365400,0.9898147144869434,0,0.0,0,0.0,0,0.0,3760,0.0101852855130566,369160
20260506120005884246_次月,schedule,2026/06,2026/05/06 12:00:05,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
20260506015129022273_次月,schedule,2026/06,2026/05/06 01:51:29,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
20260505193721079193_次月,schedule,2026/06,2026/05/05 19:37:21,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
20260505114529260455_次月,schedule,2026/06,2026/05/05 11:45:29,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
20260505015238616622_次月,schedule,2026/06,2026/05/05 01:52:38,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
